2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Pobądz 27, Tyczewo 1, od 3 do 5, 18, 128, Tyczewo-158, Tyczewo-222.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Chudaczewo od 4 do 8, 10, 11, 11/A, od 12 do 15, 17, 18, 74 (MDZ), Królewko 2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Kiersy 1, 3, 3 A, Strubiny od 2 do 4, 5 B, 5A.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Ząbrowiec 51, 52, 54, 55KOL, 60, 61, IV.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dąbrowa 27, 30, Płoskinia 1, 1A, 1B, 1C, 1d, 1E, od 2 do 5, od 7 do 9, 9b, 10, 11, 11 A, 11 B, 11A, 12, 13, 14 B, 14A, 14B, 15, 16, 16A, 17, 18, 18A, od 19 do 21, 22 A, 22B, 23, 23A, 24, 25, 26 A, 27, 28, 28 B, 28A, od 29 do 32, 32B, od 33 do 37, 38A, 38B, 39, 40, od 42 do 44, 44 A, 45, 45 A, od 46 do 50, 51 A, 51A, od 52 do 56, od 58 do 62, 66, -263, 119/2, 135/2, 138/3, 138/5, 274/5 (GPO) (MDZ), 274/6 (GPO) (MDZ), 49/2, NR DZ. 28/1, Płoskinia-Kolonia 2A, 2B, 10.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dłużyna 21, 23, 23A, 24, 25, 25A, 26, 26A, 26B, 27, 27A, 28, 28A, od 29 do 34, 34A, 35, 35A, 62/6, 83/1, Drużno , 2/3,2/5, Komorowo Żuławskie od 25 do 27, ., Węzina 1, od 3 do 9, 10A, 11, 12, od 14 do 16, 16B, 16C, 20, 21, 21A, 21B, 24, 26, 27, od 29 do 32, ., 102/1, 24/8, 26/14, 6/4, 60/5, 66/2, DZNR 25/12.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Topolno Małe 2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Targowisko Górne 1, 2, 2A, 2B, 22-319/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Pierzchowice 1, 5, od 8 do 14, 22, 25, 27, 29, 32, 36, 39.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Stańkowo 20, 13/46 (GPO).
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Jurkowice Drugie 9, 131 (GPO), Łabuń 11.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Nowa Wieś 78, 84, 86.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Frączkowo , 0012-1/12 (GPO) (MDZ), Krzeczewo , Momajny 32, 33, Piskorze od 1 do 6, 34-185/2 (GPO), Rutka 3, Skandawa 1A, 2, 5, 6, 9, 10, od 13 do 19, od 21 do 25, od 27 do 31, od 37 do 39, 43, 45, 0045-350 (GPO), 45-149/2 (GPO), 45-350 (GPO), Skandawa-281 (GPO), Skandawa 3, 7, 28, 29, 35, 0045-350 (MDZ), 45-127/13 (GPO), Solkieniki od 1 do 3, 5, od 7 do 12, 21, 41/2, TL/Solkienniki dz. nr 31.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Karwie 6, 36, 44, 48, 49, 49A, 49B, 49C, 50, 51, 0008-297/13 (GPO), 8-297/11 (GPO), 8-297/9 (GPO).
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dębnik 25.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Ładne Pole 1, Ukta 2, od 40 do 42, 45, od 47 do 53, 53A, 53C, od 54 do 60, 60A, 60B, 61, dz nr, 12-162 (GPO), 12-170/1 (GPO), 12-175, 425 (GPO), Wojnowo 1A.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Blanki 1, 2, 2A, od 3 do 10, 13A, 14, od 16 do 19, od 21 do 27, od 29 do 35, 40, 41, 50, 55, 27/1, 41-114/13, 41-51/6, 41-71/1, 41-71/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Rogiedle od 11 do 15, od 18 do 21, 54, 56, od 60 do 63, 13-100/8, 13-87/6 (MDZ), 6-90/10.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Jankowo 4, 4A, od 10 do 12, 14, 15.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Kończewice od 9 do 12, 12A, 13, 15, 15 B, 16, 16/C, 17, 18, 19 B, od 21 do 24, 24A, 25, 25 A, 25 B, 25/B, 25A, 25B, od 26 do 28, od 30 do 34, 34A, 35, 37, 38, 38A, 39, 41, 43, 44, 44a, 46A, 46B, DZ358, 109/2, 34/4 (GPO), DZ. NR 54/8.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Wierciny od 2 do 6, 6A, od 7 do 9, 150/18.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Kącik 14, 23.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Unieszewo 277, 20-281/10, 20-281/75.
